// This file is an area name mapping table.
// You can make manual changes/additions to this file if you want to.
// Note that these changes have to comply to the format KolMafia uses for the given
// area names.
// Changes to this file will be loaded the next time the ALV is started.

// Empty lines are ignored
// This is a comment :)
// Format for this file -> area name | new area name mapping
// Nothing more :D

Daily Dungeon (Room 1) | Daily Dungeon
Daily Dungeon (Room 2) | Daily Dungeon
Daily Dungeon (Room 3) | Daily Dungeon
Daily Dungeon (Room 4) | Daily Dungeon
Daily Dungeon (Room 5) | Daily Dungeon
Daily Dungeon (Room 6) | Daily Dungeon
Daily Dungeon (Room 7) | Daily Dungeon
Daily Dungeon (Room 8) | Daily Dungeon
Daily Dungeon (Room 9) | Daily Dungeon
Daily Dungeon (Room 10) | Daily Dungeon
Daily Dungeon (Room 11) | Daily Dungeon
Daily Dungeon (Room 12) | Daily Dungeon
Daily Dungeon (Room 13) | Daily Dungeon
Daily Dungeon (Room 14) | Daily Dungeon
Daily Dungeon (Room 15) | Daily Dungeon
